,agentName,price,address,beds,baths,parking,postcode
4059,Tiffany Sacco,580.0,9 Nokota Circuit BONNIE BROOK VIC 3335,4,2,2,3335
4060,Tom Koller,625.0,716/15 Clifton Street PRAHRAN VIC 3181,2,1,1,3181
4061,Adam Todisco,625.0,33 Acacia Street BOX HILL VIC 3128,3,1,2,3128
4062,Oscar Sturm,650.0,18/217a Highfield Road CAMBERWELL VIC 3124,2,1,1,3124
4063,JORDAN PALMA,650.0,303/166 Wellington Parade EAST MELBOURNE VIC 3002,2,1,1,3002
4064,Barbara Thomas,630.0,212/264 Drummond Street CARLTON VIC 3053,2,1,1,3053
4065,Oscar Sturm,625.0,147 Charles Street ABBOTSFORD VIC 3067,2,1,0,3067
4066,Oscar Sturm,620.0,3/32 Iris Road GLEN IRIS VIC 3146,2,1,1,3146
4067,Danielle Crumblehulme,620.0,805/770C Toorak Road GLEN IRIS VIC 3146,2,1,1,3146
4068,Alicia Cannizzaro,620.0,4/34 Dunne Street KINGSBURY VIC 3083,3,1,1,3083
4069,Kim Te,610.0,1212/2 Joseph Road FOOTSCRAY VIC 3011,2,2,1,3011
4070,Leo Zuo,620.0,14/98-100 Carrington Road BOX HILL VIC 3128,2,2,1,3128
4071,Hannah Alderson,630.0,2/26 Missouri Avenue BRIGHTON VIC 3186,2,1,1,3186
4072,Frazer Downes,650.0,3910/1 Freshwater Place SOUTHBANK VIC 3006,1,1,1,3006
4073,Angus Brayshaw,620.0,51 Savoy Grove CRANBOURNE NORTH VIC 3977,3,2,2,3977
4074,Angus Brayshaw,650.0,207B/72 Ascot Vale Road FLEMINGTON VIC 3031,2,2,1,3031
4075,Glenda Martin,615.0,4/33 Howard Street GLEN IRIS VIC 3146,2,1,1,3146
4076,Danielle Crumblehulme,650.0,9/581 Orrong Road ARMADALE VIC 3143,2,1,1,3143
4077,Ross Crouch,620.0,9/3 Boston Road BALWYN VIC 3103,2,1,1,3103
4078,Kellie Finlayson,650.0,12 Kirkham Road MURRUMBEENA VIC 3163,3,1,1,3163
4079,Tess Macdonald,610.0,401/442 St Kilda Rd MELBOURNE VIC 3004,2,2,1,3004
4080,Thea Toogood,650.0,1A Canterbury Road CAMBERWELL VIC 3124,3,1,1,3124
4081,Abir Ayadi,650.0,709/35 Wilson Street SOUTH YARRA VIC 3141,2,1,1,3141
4082,Amy Ma,625.0,502/80 Lynch Street HAWTHORN VIC 3122,2,1,1,3122
4083,Mandy Feng,620.0,602/815 Bourke Street DOCKLANDS VIC 3008,2,1,0,3008
4084,Preet Sandhu,625.0,603 Spencer St WEST MELBOURNE VIC 3003,2,1,1,3003
4085,Andrea Picone,650.0,2204/245 City Road SOUTHBANK VIC 3006,2,1,0,3006
4086,Shermta Flomo,650.0,7C/381 Toorak Road SOUTH YARRA VIC 3141,2,2,1,3141
4087,Zoe Swinnerton,650.0,67 Gowrie Street BENTLEIGH EAST VIC 3165,3,1,3,3165
4088,Stacey Kelegouris,610.0,111c/1 Wilfred Street IVANHOE EAST VIC 3079,2,2,2,3079
4089,David Passaro,615.0,906/14 Queens Road MELBOURNE VIC 3004,1,1,0,3004
4090,Christian Neofotistos,650.0,1/1A Menzies Court BRUNSWICK WEST VIC 3055,2,2,1,3055
4091,Lauren Harris,650.0,G03/129 Douglas Parade WILLIAMSTOWN VIC 3016,2,2,1,3016
4092,Andrea Picone,640.0,1010/43 Hancock Street SOUTHBANK VIC 3006,2,2,0,3006
4093,Edward Guo,650.0,3601/81 A'Beckett Street MELBOURNE VIC 3000,2,1,0,3000
4094,DIANA JURISIC,630.0,205/668 Swanston Street CARLTON VIC 3053,2,1,1,3053
4095,Amber Brombara,620.0,202/8 Hope St BRUNSWICK VIC 3056,2,2,1,3056
4096,Oscar Sturm,650.0,128/380 Bay Street BRIGHTON VIC 3186,2,1,1,3186
4097,Jayde Cashion,650.0,506/416 Gore Street FITZROY VIC 3065,2,1,1,3065
4098,Oscar Sturm,650.0,5/119 Victoria Road HAWTHORN EAST VIC 3123,2,1,1,3123
4099,Daniel Henderson,650.0,8/10 Valentine Grove ARMADALE VIC 3143,2,1,1,3143
4100,Jasmine Palioportas,650.0,2/46 Scotsburn Avenue CLAYTON VIC 3168,2,2,1,3168
4101,Angus Brayshaw,630.0,207/17-19 Loranne Street BENTLEIGH VIC 3204,2,2,1,3204
4102,Ismaeel Hussain,650.0,1212/15-31 Batman Street WEST MELBOURNE VIC 3003,2,2,1,3003
4103,Darren McMullin,650.0,12/641 Malvern Road TOORAK VIC 3142,2,1,1,3142
4104,Brittany Thomas,620.0,89 AXFORD BOULEVARD WODONGA VIC 3690,4,2,2,3690
4105,Justine Muscat,620.0,103/300 Swanston Street MELBOURNE VIC 3000,1,1,1,3000
4106,Leasing Team,610.0,201/88 Orrong Crescent CAULFIELD NORTH VIC 3161,2,2,1,3161
